order_id,product_category_english,productid_count
ca3625898fbd48669d50701aba51cd5f,construction_tools_construction,8
7d8f5bfd5aff648220374a2df62e84d5,construction_tools_construction,7
77df84f9195be22a4e9cb72ca9e8b4c2,furniture_decor,7
ad850e69fce9a512ada84086651a2e7d,furniture_decor,7
3990f96693d321ac142fff312bf3706a,perfumery,6
2455cbeb73fd04b170ca2504662f95ce,furniture_decor,6
200f4d883fcc701355e46b8c6035743f,furniture_decor,6
aa0b425987bdeae4a29c616a2bc3a08a,bed_bath_table,6
5efc0b7fe9df7f0c567404abaa4d25fc,bed_bath_table,6
1c11d0f4353b31ac3417fbfa5f0f2a8a,bed_bath_table,6
e43f88863d1cc9cff18d753d439d42e8,toys,6
99330d45c3ba6f45ad5745f6de036c5f,automotive,6
5a3b1c29a49756e75f1ef513383c0c12,bed_bath_table,6
b436eb981676e54c0bc9bcade0e079c4,toys,5
4412d97cb2093633afa85f11db46316c,computing_accessories,5
d5211af24819d319c02a285e7bb51750,beauty_health,5
9c64b3536fb98572dd79bdaaab529f2f,bed_bath_table,5
cf5c8d9f52807cb2d2f0a0ff54c478da,home_utilities,5
0c57cbfd927d9e62af8beee6d48920b7,food_drinks,5
bb82809ea3ca9f3edbe589b60e14e0cb,fashion_bags_accessories,5
14b01335f19b97fce1437168032ae388,furniture_decor,5
ac3b2d2f26b74c0c5f1e28c2f35abbc8,bed_bath_table,4
e8bf6d7173ae20431feec1819bb00fec,watches_gifts,4
ce3f08db12e92209931e4bff447392df,stationery,4
bc2851f553a887920c83a1367a23dded,bed_bath_table,4
1daecbe2a13ab0881c418e978f1e08c1,fashion_bags_accessories,4
81fd689a1dae218d934b58243480b726,bed_bath_table,4
a738e9e6770c9eac21287cc96d82dc76,bed_bath_table,4
acbe07f22f29ad7e5a78f30008cc6ec7,drinks,4
7e3fefb35b0b1d765a343618ca5d454c,bed_bath_table,4
00bcee890eba57a9767c7b5ca12d3a1b,computing_accessories,4
b7f44ef7fe56341d2d0d0703d65a429b,fashion_bags_accessories,4
4729a8ef5b11ed2d8dc77d48deeeee04,furniture_decor,4
4c480567d1db63cffddc552638c35d8f,bed_bath_table,4
4fc1fb51c00a593d698708ba797bf73c,beauty_health,4
df71ba0f02310921da0a5e4f708916a5,bed_bath_table,4
d8ff321383376dc17f0dc69b56fecffe,construction_tools_construction,4
c27cd942c2a926d25153090afa106ceb,bed_bath_table,4
637617b3ffe9e2f7a2411243829226d0,baby,4
cb8a63e70a7f664281f701b6abd79fe5,tools_garden,4
797fe018b83e5b8aaef674bad19874e9,furniture_decor,4
0245631f7bd55dbee7c6b441629bba94,bed_bath_table,4
178dc9ffc66f1968787b253a9318cc29,watches_gifts,4
5d7c9ec4aa4d83e0b66b73e3ad2d7c06,bed_bath_table,4
f176421e9956528da385eb686f70b7c1,home_utilities,4
8f22c3d28fe3bfa49067957987c0c8d1,pet_shop,4
2c52a5a630ca9e849ec5fad8932bab44,watches_gifts,4
35b8e54d765e6b217e2dc5ab34f6b323,computing_accessories,4
6d5774791f826a27e8e5521a9b816ba2,computing_accessories,4
f726de924d4419207ba2ba5f81608a24,tools_garden,4
c33847415203d145000463a6976952b6,bed_bath_table,4
c93a5ee8b79d80e391eba8a575bd4d1d,furniture_decor,4
bae5466ca9c393da0e97709654923fdd,sports_leisure,4
b70c2a4797319570dbecddc366fb25c0,furniture_decor,4
ed807db880719907eed75f32829ba5be,furniture_decor,4
5a42abf0eee65d3a1e361aa49561a521,bed_bath_table,4
c35fae60290d46aa0431b8c887c3a8c7,bed_bath_table,4
0c82a229fc22597c2361656cba8d3230,furniture_decor,4
af209eb4f7a3bd965aced8fe559ccd3b,toys,4
be4ce210f993d9e26a013ae7e93b6893,beauty_health,4
edc89efa4164df7e21f701a9fb88bc98,fashion_bags_accessories,4
19f9ab36cda8d833cc1ea61fa046030d,computing_accessories,4
9d39d357291a0e87c2c2816dabc0b23a,bed_bath_table,4
