product_category_english,salecount
bed_bath_table,11970
beauty_health,9992
sports_leisure,8951
furniture_decor,8793
computing_accessories,8104
home_utilities,7321
watches_gifts,6192
telephony,4707
tools_garden,4570
automotive,4368
