product_category_english,avg_review_score
books_general_interest,4.44
construction_tools_tools,4.42
imported_books,4.42
technical_books,4.38
portable_home_oven_coffee,4.32
food_drinks,4.32
luggage_accessories,4.30
food,4.23
cinema_photography,4.22
fashion_shoes,4.22
